"","links","names"
"1",NA,""
"2",NA,NA
"3",NA,NA
"4",NA,""
"5",NA,""
"6",NA,""
"7",NA,""
"8",NA,""
"9","",""
"10",NA,""
"11",NA,""
"12",NA,NA
"13",NA,NA
"14","",""
"15",NA,""
"16",NA,""
"17",NA,""
"18",NA,""
"19","",""
"20","",""
"21",NA,NA
"22",NA,NA
"23",NA,NA
"24",NA,NA
"25","/watch?v=_TO-d5Q17mU","Catawba Brewing (09/28/19) | G vs Plum | SSBU Grand Final - Part 3"
"26","/watch?v=AF328KwTHS8","Catawba Brewing (09/28/19) | G vs Plum | SSBU Grand Final - Part 2"
"27","/watch?v=yDKLUIgef4Y","Catawba Brewing (09/28/19) | G vs Plum | SSBU Grand Final - Part 1"
"28","/watch?v=xfOsKshilsQ","SSBU: Data Science Tier List"
"29","/watch?v=fxbHrJ8DY8c","The Side Deck #42 - Fulk [L] (Greninja) VS PHNM | Adachi (Luigi) - SSBU Grand Finals"
"30","/watch?v=Iki_-nqVMwY","Liga Nexus SSBU #3 - TZ Mustang (Ike) Vs. TZ Jaby! (Yoshi) Grand Finals"
"31","/watch?v=zAVHldhAHLY","Recharged #37 - Mercury vs Deli - Grand Finals - SSBU"
"32","/watch?v=63eCbvKa6tw","The Great Gonzales VS IluZEnzo - Philly Esports SSBU (R3) GRAND FINALS!"
"33","/watch?v=cMwUdS-71wI","Shuton/zackray vs Marss/Light - Top 8 GRAND FINALS: Ultimate Doubles - TBH9"
"34","/watch?v=J1bCq2FTudE","Eagle Colosseum SSBU - Louir(Pokemon Trainer) vs Im2Reddy(Young Link, ZSS) Grand Finals"
"35","/watch?v=zuNn6W-gLaE","FNS (10/4/19) - Dray (Yoshi) vs GGKR (Roy) Grand Finals - SSBU"
"36","/watch?v=knragnD3WhM","TSL 192 SSBU Grand Finals - JumboJack (Diddy Kong) vs Thor (Fox / Cloud)"
"37","/watch?v=-wecAaEk9Rc","WAVEDASHERS 5 SSBU - SGW | Godira (Bowser) [W] vs. Leaum (PT) [L]  - GRAND FINALS"
"38","/watch?v=sGwwbsxYFm4","UFA 2019 SSBU - myR | Longo & FOX | MkLeo Vs. cyve & BC | Mr.R SSBU Teams Grand Finals"
"39","/watch?v=2Qxr6Yg0NGs","UFA 2019 SSBU - SnF | Nin' Vs. BK | BDE | SNIXX Smash Ultimate Tournament Grand Finals"
"40","/watch?v=ovW_zmRzEY0","miniGROWTH XIV SSBU: SMB (Luigi) VS Crowkuen (Chrom) Smash Ultimate Grand Finals"
"41","/watch?v=ZfSvr_LhStI","The Side Deck #42 - ZeoLightning [L] VS Adachi - SSBU |Squad Strike| Grand Finals"
"42","/watch?v=0MwOIwhAur8","SL Ultimate #43 - Smokk (Wolf, Ganon) vs Venom (Ken, Joker) - Grand Finals"
"43","/watch?v=vVzoLfea3jU","BASH_7 SSBU - Felker (Young Link) Vs Nep (Robin) - Grand Final"
"44","/watch?v=Q57VbCfAj_k","SSBU Tournament - Seagull Joe (Palutena, Pika) Vs Dexter [L] (Wolf) The Grind 94 SSBU Grand Finals"
"45","/watch?v=x_1wSgTajkg","Smash Ultimate Tournament - ZD [L] (Fox) Vs. Mata-Door [L] (Wario) S@X 322 SSBU Grand Finals"
"46","/watch?v=Br9kmN3Z904","MS 9/26/19 - coolmath4kids vs Sneh - Grand Finals - SSBU"
"47","/watch?v=NNYv8O0l_j4","USW 43 - TLOC | Awestin (Ness) vs TG | MVD (Snake) Grand Finals - SSBU"
"48","/watch?v=GopIx4rGQJA","Finde Xoven SSBU - Bravo Vs. Cofis [Grand Finals]"
"49","/watch?v=RimNtrgj_4U","MSM 209 - POW | Mastamario (Mario) Vs TG | K9sbruce (Wolf) Grand Finals - Smash Ultimate"
"50","/watch?v=etUlskJDqNI","LTP2 - Plasma [L] (Yoshi, Bowser Jr) VS RFang (Luigi) - SSBU Grand Finals"
"51","/watch?v=FSx1FDVX474","SSBU @ BattleGroundz - Grand Finals: Nano (Inkling/Joker) vs [WangGang] LordSpin (Snake/Meta Knight)"
"52","/watch?v=948mdi2yNIw","Darkshad(Shulk) vs PBLK Wood(G&W)  Arcade Legacy #34  SSBU  Grand Finals"
"53","/watch?v=A6ZcFZ3J82g","WNF 3.8 Eon (Luigi) vs Cyro (Mario) - Grand Finals - Smash Ultimate"
"54","/watch?v=gAbO98o9E-0","USW 42 - TLOC | Awestin (Ness) vs TLOC | Denti (PT) Grand Finals - SSBU"
"55","/watch?v=ZxgpYQbEcRY","USW 42   Xillion + Awestin vs KingK + Denti   Grand Finals SSBU"
"56","/watch?v=RIu30pkD7Dc","MCS43 SSBU - ChillyChilli (Random) Vs. Kip! (Random) Grand Finals Smash Ultimate"
"57","/watch?v=ublTB6ahzEE","Recharged #36 - Enzo vs Beast - Grand Finals - SSBU"
"58","/watch?v=gPgG76TgmgQ","Umebura SP5 SSBU - SST | Shuton (Olimar) Vs. GW | Zackray (Wolf) Smash Ultimate Grand Finals"
"59","/watch?v=V-J3IMdbT50","EVAC 28/6/19 - SSBU - Q (Yoshi) vs DF | StabbyJ (Snake) - Grand Finals"
"60","/watch?v=2z8HErUuHSM","SOS 153 SSBU Grand Finals - Stroder (Greninja) vs Asotil (Richter)"
"61","/watch?v=MsDZFxS1N8Q","SL Ultimate #42 - Smokk (Ganon) vs FSharp (Ken) - Grand Finals"
"62","/watch?v=3OmKTEw26Vk","MasterHand 49 SSBU -Grand Finals- <U+306B><U+304F><U+304D><U+3085><U+3046>(Ice Climbers,Sheik) vs. Lucia(HERO,Metaknight)"
"63","/watch?v=46GGBGztsJ0","Smash Ultimate Tournament - John Numbers (Wii Fit) Vs. Dill (ROB) SSBU Xeno 180 Grand Finals"
"64","/watch?v=tQ2hHBYjy9c","HAT 83 - Nito (Ken) Vs. Charliedaking (Wolf) Grand Finals - Smash Ultimate"
"65","/watch?v=Jta_ym64Ea4","MSM 208 - APE | Goblin (Roy) Vs Puppeh (Pokemon Trainer) Grand Finals - Smash Ultimate"
"66","/watch?v=gnjK59RPjZ0","Salad (Palutena) vs PeZ (Fox) - Paragon 16 - Grand Finals - SSBU"
"67","/watch?v=mSubOMcVVOA","Nairo vs MkLeo - GRAND FINALS: Ultimate Singles - Mainstage | ZSS, Palutena vs Joker"
"68","/watch?v=U8F345AILgY","Recharged #35 - Juice vs Enzo - Grand Finals - SSBU"
"69","/watch?v=Dgv53Rouzo8","Smash Ultimate Tournament - Dexter [L] (Wolf) Vs. ZD (Fox) The Grind 93 SSBU Grand Finals"
"70","/watch?v=apYIKpaqZp4","EVO 2019 SSBU Grand Finals Match 5 (True Footage!)"
"71","/watch?v=AM26x1aKvbY","TSL 190 SSBU Grand Finals - Horse (Ness) VS Skylar (Game and Watch)"
"72","/watch?v=5hE2OWZp8UE","MkLeo/Glutonny vs Nairo/Samsora - GRAND FINALS: Ultimate Doubles Top 16 - Mainstage"
"73","/watch?v=eFq1RNfbbkg","SSBU Torneo Maflow SEP1 - Grand Finals: Yuka-RD (DK) Vs. Dark-Angel7k (Zelda)"
"74","/watch?v=EBgHGuvq4jU","Smash Ultimate Tournament - Mr E (Lucina) Vs. Venia [L] (Greninja) SSBU Xeno 179 Grand Finals"
"75","/watch?v=M3p1jn9r_MA","LSD9 - IceMein VS K Dog - SSBU Squad Strike Grand Finals"
"76","/watch?v=hYQU8Ta6PK4","LSD9 - DCorn (Yoshi) VS VGBC | Logic (Olimar/Mewtwo) SSBU Grand Finals"
"77","/watch?v=JvlckdqVaUg","USW 40 - K2S | Eclipse (Greninja) vs eLH | Kosoku (Mario) Grand Finals - SSBU"
"78","/watch?v=zWAFygdrpeM","USW 40 - Awestin + HyLeN vs KingK + Denti - Grand Finals SSBU"
"79","/watch?v=FoHOa9q9UCY","Smash Ultimate Tournament - ZD (Fox) Vs. Seagull Joe [L] (Pikachu) S@X 320 SSBU Grand Finals"
"80","/watch?v=FnvxDLmsF8c","LSD9 - Asian_Glow/Lex_Steel - VS Dcorn/Logic - SSBU Doubles Grand Finals"
"81","/watch?v=2bfvoIcQKZ8","Spectrum #110 - Jakal (Wolf) Vs. Demise | Mr E (Lucina) - Grand Finals - SSBU"
"82","/watch?v=q1m2nmX9-a8","Spectrum #110 - Zomba / Arhungry Vs. Rivers / Jakal - Grand Finals - SSBU"
"83","/watch?v=YvZ7l3eciVU","DDD 33 SSBU Amateur Bracket Grand Finals End of Set 2 Ballfoop (Wolf/Little Mac) vs. Taffy (Inkling)"
"84","/watch?v=iYYXWpU1tEU","DDD 33 SSBU Grand Finals Stroder (Sheik/Inkling/Mario/Luigi) vs. Skylar (Incineroar/Mario/Luigi)"
"85","/watch?v=atyFX8LXsr4","SR7 SSBU - merf (Chrom) Vs. ChillyChilli (Mario) Grand Finals Smash Ultimate"
"86","/watch?v=2FAfSi1BQ8E","Engine League #6/ Blink (Lucina) vs MetaFire (Palutena)/ SSBU Singles Grand FInal Junior"
"87","/watch?v=o8dVr-CFOnw","SSBU @ BattleGroundz - Grand Finals: Olympia (Inkling) vs Strixia[L] (R.O.B.)"
"88","/watch?v=x_KQK-gyFzo","Glitch 7 SSBU - PG ESAM (Pikachu) VS Rogue Light (Fox) Smash Ultimate Grand Finals"
"89","/watch?v=rwWmrleDlcc","Recharged #34 - Bonk! vs Jrx - Grand Finals - SSBU"
"90","/watch?v=BD5eP6lk32A","Glitch 7 SSBU - PG | ESAM Vs. TSM | Tweek - Smash Ultimate Squad Strike Grand Finals"
"91","/watch?v=mBKAhWd31DU","Glitch 7 SSBU - Dark Wizzy & Light Vs. Tweek & Nairo - Smash Ultimate Tournament Grand Finals"
"92","/watch?v=R4QFN6JQeT8","Smash Ultimate - Lui$ (Mario, Dr. Mario) Vs. ESAM (Palu, Pikachu) The Grind 92 SSBU Grand Finals"
"93","/watch?v=dFSOYUBg0l0","Microspacing #30 SSBU - TH3KING(ROB/Banjo) vs Coda(Palutena) Grand Finals"
"94","/watch?v=mx7AWOI6H2w","DHMT19 SSBU | ESAM (Pikachu) Vs. Marss (ZSS) - Grand Finals"
"95","/watch?v=yCgppJF31Jg","Smash Ultimate Tournament - Dill (ROB) Vs. Venia (Greninja) SSBU Xeno 178 Grand Finals"
"96","/watch?v=brEA0tvxT1M","Smash Ultimate Tournament - Dazai (Roy) Vs. ZD [L] (Fox) S@X 319 SSBU Grand Finals"
