"","entry_nr","entry_date","entry_id","tournament","url","player","placement","character"
"52",11,2018-12-09,"11-1","SLGC Smash Ultimate Release Tournament ","https://smash.gg/tournament/slgc-smash-ultimate-release-tournament/events/ultimate-singles/standings
"," Mint ",9,"Dr. Mario"
"292",29,2018-12-16,"29-1","Umebura SP ","https://smash.gg/tournament/umebura-sp/events/umebura-sp-singles/brackets/483109/844374
"," Elmes ",7,"Dr. Mario"
"595",56,2018-12-23,"56-1","Super Splat Bros. ","https://smash.gg/tournament/super-splat-bros-1/events/ultimate-singles/brackets/383616/726251
"," Lui$ ",9,"Dr. Mario"
"606",56,2018-12-23,"56-2","DAT Monday Meltdown 153 ","https://datteam.challonge.com/dmm153
"," Bulby ",5,"Dr. Mario"
"767",82,2018-12-30,"82-1","Midwest Mayhem Ultimate ","https://smash.gg/tournament/midwest-mayhem-ultimate/events/ultimate-singles/standings
"," Fons ",5,"Dr. Mario"
"779",84,2018-12-30,"84-1","Smashfield 169 ","https://smash.gg/tournament/smashfi...vents/ultimate-singles/brackets/490925/853581
"," Ozone ",2,"Dr. Mario"
"1042",126,2019-01-04,"126-2","Orbitar 62 ",NA,"  -   JTreezy    ",9,"Dr. Mario"
"1054",128,2019-01-05,"128-1","Weds Night Fights x Oakland 2018 ","https://smash.gg/tournament/weds-night-fights-x-oakland-2018-s2ep01/events/smash-ultimate/standings 
"," Lui$ ",1,"Dr. Mario"
"1066",129,2019-01-05,"129-1","Smashfield 170 @ The Raddison ","https://smash.gg/tournament/smashfield-170-the-raddison/events/ultimate-singles/standings
"," - Ozone ",5,"Dr. Mario"
"1463",178,2019-01-12,"178-2","Karisuma SP1 ","https://challonge.com/KarisumaSP1
"," Tsumusuto ",2,"Dr. Mario"
"1694",199,2019-01-14,"199-2","Smashers Anonymous: Ultimate Edition ","https://smash.gg/tournament/smasher...vents/ultimate-singles/brackets/483888/845363
"," Marshall ",4,"Dr. Mario"
"1723",201,2019-01-14,"201-2",NA,"https://imgur.com/a/TKN9s8G
"," - ",3,"Dr. Mario"
"1813",220,2019-01-17,"220-1","Wednesday Whiffs 01/16 ","https://smash.gg/tournament/wednesday-whiffs-01-16-ultimate/events
"," very freezer ",5,"Dr. Mario"
"1934",234,2019-01-19,"234-1","SumabatoxCyclops 81 ",NA," Tsumusuto ",2,"Dr. Mario"
