"","fighter","attack_type","attack_name","damage_raw","description"
"1",NA,NA,NA,NA,NA
"2","Mario","Neutral attack","","2.2%","The Punch + Punch + Kick combo from Super Mario 64. The first and second hits can lock, and the general speed of the move makes it good as a grounded combo breaker or quick punish tool, as the first hit comes out on frame 2."
"3","Mario","Neutral attack","","1.7%","The Punch + Punch + Kick combo from Super Mario 64. The first and second hits can lock, and the general speed of the move makes it good as a grounded combo breaker or quick punish tool, as the first hit comes out on frame 2."
"4","Mario","Neutral attack","","4%","The Punch + Punch + Kick combo from Super Mario 64. The first and second hits can lock, and the general speed of the move makes it good as a grounded combo breaker or quick punish tool, as the first hit comes out on frame 2."
"5","Mario","Forward tilt","","7%","A wheel kick. It can be angled. Good for getting opponents off of Mario due to its high base knockback, and angling it down enables it to hit ledge hangs."
"6","Mario","Up tilt","","5.5%","A spinning uppercut. Effective for comboing into itself at low percents, and into aerial attacks from mid to high percents; however, the former combo can be escaped with the proper combination of DI and SDI, and can be punished on hit at very low percents. Unlike in SSB4, the move's altered animation results in the hitbox being positioned fairly high to the ground on the first frame it is active, making it fairly difficult or even impossible to hit shorter or crouching characters with the move. It appears to be based on the second hit of the Mega Glove's combo from Super Mario RPG: Legend of the Seven Stars."
"7","Mario","Down tilt","","5% (foot), 7% (leg)","A legsweep. A reliable combo starter that works at a wider range of percents than up tilt, at the cost of being less consistent due to its different hitboxes, and unable to combo into itself as effectively. Can also hit ledge hangs and combo off from ledge as well."
"8","Mario","Dash attack","","8% (clean), 6% (late)","A baseball slide. Has a vertical knockback angle, although its moderate endlag makes it subpar for starting combos. Its lingering hitbox is useful for 2-framing certain opponents and punishing spotdodges. Very similar to the Slide Kick from Super Mario 64."
"9","Mario","Forward smash","","17.8% (fire), 14.7% (arm)","Steps back and does a palm thrust that produces a small explosion. Though it is Mario's slowest ground attack, coming out on frame 15, it is considered among the best forward smashes in the game for several reasons: It is Mario's most powerful KO move when sweetspotted, KOing as low as 65% by the ledge, the fireball itself is disjointed, can be angled downwards or upwards to hit ledge hangs, and the start-up animation has Mario pull back his hurtbox deceptively far, inadvertently allowing him to avoid several attacks."
"10","Mario","Up smash","Lead Headbutt","14%","An upward arcing headbutt. One of Mario's most reliable KO options. Its quick startup makes it a useful out of shield option, as well as being difficult to react to if the opponent is within its range. His head is intangible while its hitboxes are active, giving it pseudo-disjointed range. Its hitboxes reach behind Mario a good distance, but do not reach as far in front of him. Has very fast interruptibility for its strength at frame 40, and its damage output is also just enough to make it difficult for most characters to punish out of shield."
